cardId,name,issuer,network,currency,isBusiness,annualFee,isAnnualFeeWaived,universalCashbackPercent,url,imageUrl,credits,offers,historicalOffers,discontinued,offerAmount,offerSpend,offerUrl,offerDays,countsTowards524
509a09cbd31edd8df85928d044ef7802,Delta SkyMiles Gold Business,AMERICAN_EXPRESS,AMERICAN_EXPRESS,DELTA,true,150,true,1,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-gold/,https://offeroptimist.com/images/amex/delta-skymiles-gold-business.webp,,,,false,60000,4000,,180,false
bdf4ae17ff6808592f785fff3ae81a2a,Delta SkyMiles Platinum,AMERICAN_EXPRESS,AMERICAN_EXPRESS,DELTA,false,350,false,1,https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-platinum-american-express-card/,https://offeroptimist.com/images/amex/delta-skymiles-platinum.webp,500 Companion Pass,,,false,90000,4000,,180,true
bdf4ae17ff6808592f785fff3ae81a2a,Delta SkyMiles Platinum,AMERICAN_EXPRESS,AMERICAN_EXPRESS,DELTA,false,350,false,1,https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-platinum-american-express-card/,https://offeroptimist.com/images/amex/delta-skymiles-platinum.webp,500 Companion Pass,,,false,60000,4000,,180,true
1e9c3dae029612a7a40adf6144bf43d4,Delta SkyMiles Platinum Business,AMERICAN_EXPRESS,AMERICAN_EXPRESS,DELTA,true,350,false,1,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-platinum/,https://offeroptimist.com/images/amex/delta-skymiles-platinum-business.webp,100 $100 Global Entry / $85 TSA PreCheck Credit; 500 Companion Pass; 50 First checked bag free,,,false,70000,8000,,180,false
2a3949c2232cf6646a59531728264a5c,Delta SkyMiles Reserve,AMERICAN_EXPRESS,AMERICAN_EXPRESS,DELTA,false,650,false,1,https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-reserve-american-express-card/,https://offeroptimist.com/images/amex/delta-skymiles-reserve.webp,240 Resy Credit,,,false,100000,5000,,180,true
2a3949c2232cf6646a59531728264a5c,Delta SkyMiles Reserve,AMERICAN_EXPRESS,AMERICAN_EXPRESS,DELTA,false,650,false,1,https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-reserve-american-express-card/,https://offeroptimist.com/images/amex/delta-skymiles-reserve.webp,240 Resy Credit,,,false,70000,5000,,180,true
a8032dfcc9bc6af82eb1a0a487e710b5,Delta SkyMiles Reserve Business,AMERICAN_EXPRESS,AMERICAN_EXPRESS,DELTA,true,550,false,1,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-reserve/,https://offeroptimist.com/images/amex/delta-skymiles-reserve-business.webp,,,,false,80000,10000,,180,false
a8032dfcc9bc6af82eb1a0a487e710b5,Delta SkyMiles Reserve Business,AMERICAN_EXPRESS,AMERICAN_EXPRESS,DELTA,true,550,false,1,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-reserve/,https://offeroptimist.com/images/amex/delta-skymiles-reserve-business.webp,,,,false,75000,4000,,180,false
54fddf9e59dfad730320eb65a04b7ea5,Everyday,AMERICAN_EXPRESS,AMERICAN_EXPRESS,AMERICAN_EXPRESS,false,0,false,1,https://global.americanexpress.com/card-benefits/view-all/amex-everyday,https://offeroptimist.com/images/amex/everyday.png,,,,true,0,3000,,90,true
84c122e1077e2929b1f563bd143ce82e,Everyday Preferred,AMERICAN_EXPRESS,AMERICAN_EXPRESS,AMERICAN_EXPRESS,false,95,false,1,https://www.americanexpress.com/us/credit-cards/card/amex-everyday-preferred/,https://offeroptimist.com/images/amex/everyday-preferred.jpg,,,,true,0,3000,,90,true
cafe43d37256bec116dff4be6cced2cf,Gold,AMERICAN_EXPRESS,AMERICAN_EXPRESS,AMERICAN_EXPRESS,false,350,false,1,https://www.americanexpress.com/us/credit-cards/card/gold-card/,https://offeroptimist.com/images/amex/gold.webp,"120 $10/mo credit for Uber; 120 $10/mo credit for Grubhub, Cheesecake Factory, Gold Belly, Wine.com, Milk, Shake Shack; 84 $7/mo credit for Dunkin; 100 Semi-annual $50 Resy credit",,,false,90000,6000,,180,true
