name,issuer,network,currency,offerAmount,offerSpend,offerDays,offerUrl,countsTowards524,details,isBusiness,annualFee,isAnnualFeeWaived,universalCashbackPercent,url,imageUrl,credits
Delta SkyMiles Platinum,American Express,American Express,Delta Miles,90000,4000,90,https://www.delta.com/us/en/skymiles/airline-credit-cards/american-express-personal-cards,TRUE,,FALSE,250,FALSE,1,https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-platinum-american-express-card/,https://offeroptimist.com/images/amex/delta-skymiles-platinum.webp,$500 Companion Pass
Delta SkyMiles Platinum Business,American Express,American Express,Delta Miles,95000,4000,90,https://www.delta.com/us/en/skymiles/airline-credit-cards/american-express-business-cards,FALSE,,TRUE,250,FALSE,1,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-platinum/,https://offeroptimist.com/images/amex/delta-skymiles-platinum-business.webp,$100 $100 Global Entry / $85 TSA PreCheck Credit; $500 Companion Pass; $50 First checked bag free
Delta SkyMiles Reserve,American Express,American Express,Delta Miles,90000,6000,90,https://www.delta.com/us/en/skymiles/airline-credit-cards/american-express-personal-cards,TRUE,,FALSE,550,FALSE,1,https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-reserve-american-express-card/,https://offeroptimist.com/images/amex/delta-skymiles-reserve.webp,
Delta SkyMiles Reserve Business,American Express,American Express,Delta Miles,100000,4000,90,https://www.delta.com/us/en/skymiles/airline-credit-cards/american-express-business-cards,FALSE,,TRUE,550,FALSE,1,https://www.americanexpress.com/en-us/business/credit-cards/delta-skymiles-reserve/,https://offeroptimist.com/images/amex/delta-skymiles-reserve-business.webp,
Everyday,American Express,American Express,Amex Points,10000,2000,180,https://www.americanexpress.com/us/credit-cards/card/amex-everyday/,TRUE,,FALSE,0,FALSE,1,https://www.americanexpress.com/us/credit-cards/card/amex-everyday/,https://offeroptimist.com/images/amex/everyday.png,
Everyday Preferred,American Express,American Express,Amex Points,15000,2000,180,https://www.americanexpress.com/us/credit-cards/card/amex-everyday-preferred/,TRUE,,FALSE,95,FALSE,1,https://www.americanexpress.com/us/credit-cards/card/amex-everyday-preferred/,https://offeroptimist.com/images/amex/everyday-preferred.jpg,
Gold,American Express,American Express,Amex Points,75000,4000,180,https://resy.com/amex-offers?date=2022-09-18&seats=2,TRUE,,FALSE,250,FALSE,1,https://www.americanexpress.com/us/credit-cards/card/gold-card/,https://offeroptimist.com/images/amex/gold.webp,$120 $10/mo credit for Uber; $120 $10/mo credit for Grubhub Cheesecake Factory/Gold Belly/Wine.com/Milk/Shake Shack
Gold,American Express,American Express,Amex Points,60000,4000,180,https://www.americanexpress.com/us/credit-cards/card/gold-card/,TRUE,,FALSE,250,FALSE,1,https://www.americanexpress.com/us/credit-cards/card/gold-card/,https://offeroptimist.com/images/amex/gold.webp,$120 $10/mo credit for Uber; $120 $10/mo credit for Grubhub Cheesecake Factory/Gold Belly/Wine.com/Milk/Shake Shack
Green,American Express,American Express,Amex Points,45000,2000,180,https://www.uscreditcardguide.com/amex-green-card/,TRUE,,FALSE,150,FALSE,1,https://www.americanexpress.com/us/credit-cards/card/green/,https://offeroptimist.com/images/amex/green.webp,$100 CLEAR Credit; $100 Lounge Access Credit
Green,American Express,American Express,Amex Points,40000,2000,180,,TRUE,,FALSE,150,FALSE,1,https://www.americanexpress.com/us/credit-cards/card/green/,https://offeroptimist.com/images/amex/green.webp,$100 CLEAR Credit; $100 Lounge Access Credit
